geometry,geometry_index,beta,mode_index,eigenvalue,dominant_q,q_contrast,mean_abs_xyz,field_anisotropy,boundary_ratio,score_q,score_iso,criterion
ortho_1.05_1.20,1.2,5.0,11,8.909438826994423,X1+Y2+Z2,0.10760881636755638,0.00027173872340570203,0.7210656243238466,0.38494893370328026,2.9241482386918388e-05,0.0001959414522454976,score_iso
ortho_1.10_1.30,1.3,0.0,15,4.0068174943350945,Z1,0.4149556841313825,0.00021123997103838913,0.826446281009022,3.288379065233445,8.765522669812819e-05,0.0001745784884651302,score_q
ortho_1.10_1.30,1.3,0.0,15,4.0068174943350945,Z1,0.4149556841313825,0.00021123997103838913,0.826446281009022,3.288379065233445,8.765522669812819e-05,0.0001745784884651302,score_iso
ortho_1.10_1.30,1.3,1.0,18,6.732841517035539,Z1,0.13968879801394746,0.00012346317481643388,0.6445729064377116,2.188770570051135,1.7246422489093515e-05,7.958101742945607e-05,score_q
ortho_1.10_1.30,1.3,1.0,18,6.732841517035539,Z1,0.13968879801394746,0.00012346317481643388,0.6445729064377116,2.188770570051135,1.7246422489093515e-05,7.958101742945607e-05,score_iso
ortho_1.10_1.30,1.3,5.0,10,8.334088783324736,X1+Y2+Z2,0.10878660157119842,0.0002846472651106902,0.6238332777086589,0.35134826150255627,3.0965808617927946e-05,0.00017757243638480747,score_q
ortho_1.10_1.30,1.3,5.0,10,8.334088783324736,X1+Y2+Z2,0.10878660157119842,0.0002846472651106902,0.6238332777086589,0.35134826150255627,3.0965808617927946e-05,0.00017757243638480747,score_iso
ortho_1.20_1.50,1.5,0.0,14,3.319479687808843,Z1,0.41495568418206435,0.0002112399709663574,0.6216502871652603,3.071266272128573,8.765522667894424e-05,0.0001313173886120173,score_q
ortho_1.20_1.50,1.5,0.0,14,3.319479687808843,Z1,0.41495568418206435,0.0002112399709663574,0.6216502871652603,3.071266272128573,8.765522667894424e-05,0.0001313173886120173,score_iso
ortho_1.20_1.50,1.5,1.0,17,5.825213245304843,Z1,0.13039552981201888,0.00012341357373063844,0.4863042675342517,1.9688936508266757,1.6092578332601255e-05,6.00165475768625e-05,score_q
ortho_1.20_1.50,1.5,1.0,17,5.825213245304843,Z1,0.13039552981201888,0.00012341357373063844,0.4863042675342517,1.9688936508266757,1.6092578332601255e-05,6.00165475768625e-05,score_iso
ortho_1.20_1.50,1.5,5.0,18,9.53613501680085,X1+Y2+Z1,0.114053649104135,0.0004522373121306476,0.1949387148733491,0.33536144002562895,5.157931570954605e-05,8.815856044452609e-05,score_q
